year,direction,setpoint_bin_kW,hours,tracking_ratio_projected,tracking_MAE_kW,same_sign_pct,under90_pct,within10_pct,scope,support_note
2022,charge,100-150,20.113889,0.982919,3.445229,99.566358,4.074023,95.392902,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2023,charge,100-150,20.871667,0.994718,2.086814,99.422396,1.042083,98.602571,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2024,charge,100-150,12.234167,0.99632,1.945848,99.564062,0.865064,98.653589,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2022,charge,150-200,13.891667,0.96598,8.046111,99.086183,7.138572,92.263547,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2023,charge,150-200,17.918889,0.985148,4.235661,98.869908,2.404353,97.394122,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2024,charge,150-200,11.505833,0.995158,2.489896,99.558195,0.837739,98.894281,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2022,charge,200-300,17.379167,0.966037,10.035739,99.267961,6.736994,92.984896,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2023,charge,200-300,15.737222,0.989966,3.660377,99.368094,2.001624,97.920712,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2024,charge,200-300,11.514444,0.986711,4.494982,99.078452,2.272508,97.643057,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2022,charge,300-450,2.24,0.980753,7.112847,99.565972,3.335813,96.651786,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2023,charge,300-450,0.816111,0.981014,6.795439,99.795779,6.807352,93.192648,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2024,charge,300-450,0.362778,0.981408,6.513783,99.387443,5.513017,94.486983,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2022,charge,50-100,8.523611,0.96956,3.438586,99.540492,8.215741,91.57243,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2023,charge,50-100,5.108889,0.985319,2.958351,98.401479,2.218356,97.009569,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2024,charge,50-100,9.22,0.997513,1.436762,99.692697,0.530248,99.108219,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2022,discharge,100-150,6.013889,0.998762,1.681478,99.796767,0.498845,98.706697,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2023,discharge,100-150,14.903333,0.993555,2.237699,99.440841,0.887199,98.816447,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2024,discharge,100-150,10.653611,0.991532,2.655359,99.314265,1.15506,98.571168,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2022,discharge,150-200,11.0125,0.994558,3.020078,99.651911,0.955984,98.484046,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2023,discharge,150-200,13.436667,0.987336,3.843691,99.086248,1.370628,98.43091,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2024,discharge,150-200,7.568611,0.989106,3.70349,99.188902,1.390979,98.359452,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2022,discharge,200-300,14.263056,0.986628,5.427523,99.016496,1.832629,97.795392,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2023,discharge,200-300,10.456389,0.988023,4.201392,99.115373,1.368116,98.544218,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2024,discharge,200-300,5.344167,0.97201,8.512137,97.889703,3.466916,96.345964,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2022,discharge,300-450,2.381111,0.989897,5.686654,99.440037,1.948203,97.608493,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2023,discharge,300-450,1.113056,0.990873,3.990766,99.475917,1.272773,98.652358,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2024,discharge,300-450,0.894722,0.97667,9.361999,98.571872,3.352996,96.491773,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2022,discharge,450-700,0.194722,0.99949,0.289586,100.0,0.0,100.0,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2023,discharge,450-700,0.0075,0.92107,35.740741,96.296296,11.111111,88.888889,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,sparse high-power support: about 27 s (2023) / 26 s (2024); do not interpret as representative capability
2024,discharge,450-700,0.007222,0.881368,53.461538,100.0,19.230769,80.769231,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,sparse high-power support: about 27 s (2023) / 26 s (2024); do not interpret as representative capability
2022,discharge,50-100,0.252222,0.952441,6.277533,94.052863,8.259912,89.867841,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2023,discharge,50-100,3.6775,0.977067,3.679356,98.043659,2.764559,96.585845,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
2024,discharge,50-100,13.197222,0.992369,1.851589,99.467481,0.852452,98.922332,SOC 55-65%; cabinet-air temperature 20-25 C; PQ-mode flag=1; |setpoint ramp| <= 5 kW/s,
